funcid,dim,milestone,error
23,30,1,7.304161e+02
23,30,2,5.416078e+02
23,30,3,5.270198e+02
23,30,5,5.257311e+02
23,30,10,5.256363e+02
23,30,20,5.256208e+02
23,30,30,5.256208e+02
23,30,40,5.256208e+02
23,30,50,5.256208e+02
23,30,60,5.256208e+02
23,30,70,5.256208e+02
23,30,80,5.256208e+02
23,30,90,5.256208e+02
23,30,100,5.256208e+02
23,30,1,9.081737e+02
23,30,2,6.583659e+02
23,30,3,6.409324e+02
23,30,5,6.381948e+02
23,30,10,6.379083e+02
23,30,20,6.378682e+02
23,30,30,6.378682e+02
23,30,40,6.378682e+02
23,30,50,6.378682e+02
23,30,60,6.378682e+02
23,30,70,6.378682e+02
23,30,80,6.378682e+02
23,30,90,6.378682e+02
23,30,100,6.378682e+02
23,30,1,9.379587e+02
23,30,2,7.406734e+02
23,30,3,7.249190e+02
23,30,5,7.222029e+02
23,30,10,7.219368e+02
23,30,20,7.218722e+02
23,30,30,7.218722e+02
23,30,40,7.218722e+02
23,30,50,7.218722e+02
23,30,60,7.218722e+02
23,30,70,7.218722e+02
23,30,80,7.218722e+02
23,30,90,7.218722e+02
23,30,100,7.218722e+02
23,30,1,9.793016e+02
23,30,2,8.098797e+02
23,30,3,7.947008e+02
23,30,5,7.927506e+02
23,30,10,7.917815e+02
23,30,20,7.917027e+02
23,30,30,7.917027e+02
23,30,40,7.917027e+02
23,30,50,7.917027e+02
23,30,60,7.917027e+02
23,30,70,7.917027e+02
23,30,80,7.917027e+02
23,30,90,7.917027e+02
23,30,100,7.917027e+02
23,30,1,7.684180e+02
23,30,2,5.647999e+02
23,30,3,5.542220e+02
23,30,5,5.528322e+02
23,30,10,5.527809e+02
23,30,20,5.527782e+02
23,30,30,5.527782e+02
23,30,40,5.527782e+02
23,30,50,5.527782e+02
23,30,60,5.527782e+02
23,30,70,5.527782e+02
23,30,80,5.527782e+02
23,30,90,5.527782e+02
23,30,100,5.527782e+02
