funcid,dim,milestone,error
24,10,1,4.667821e+02
24,10,2,4.372308e+02
24,10,3,4.372308e+02
24,10,5,4.372308e+02
24,10,10,4.372308e+02
24,10,20,4.372308e+02
24,10,30,4.372308e+02
24,10,40,4.372308e+02
24,10,50,4.372308e+02
24,10,60,4.372308e+02
24,10,70,4.372308e+02
24,10,80,4.372308e+02
24,10,90,4.372308e+02
24,10,100,4.372308e+02
24,10,1,4.881111e+02
24,10,2,4.881111e+02
24,10,3,4.881111e+02
24,10,5,4.881111e+02
24,10,10,4.881111e+02
24,10,20,4.881111e+02
24,10,30,4.881111e+02
24,10,40,4.881111e+02
24,10,50,4.881111e+02
24,10,60,4.881111e+02
24,10,70,4.881111e+02
24,10,80,4.881111e+02
24,10,90,4.881111e+02
24,10,100,4.881111e+02
24,10,1,5.505436e+02
24,10,2,5.036716e+02
24,10,3,5.036716e+02
24,10,5,5.036716e+02
24,10,10,5.036716e+02
24,10,20,5.036716e+02
24,10,30,5.036716e+02
24,10,40,5.036716e+02
24,10,50,5.036716e+02
24,10,60,5.036716e+02
24,10,70,5.036716e+02
24,10,80,5.036716e+02
24,10,90,5.036716e+02
24,10,100,5.036716e+02
24,10,1,4.514752e+02
24,10,2,4.514752e+02
24,10,3,4.514752e+02
24,10,5,4.514752e+02
24,10,10,4.514752e+02
24,10,20,4.514752e+02
24,10,30,4.514752e+02
24,10,40,4.514752e+02
24,10,50,4.514752e+02
24,10,60,4.514752e+02
24,10,70,4.514752e+02
24,10,80,4.514752e+02
24,10,90,4.514752e+02
24,10,100,4.514752e+02
24,10,1,5.233230e+02
24,10,2,5.233230e+02
24,10,3,5.127750e+02
24,10,5,5.111361e+02
24,10,10,5.111361e+02
24,10,20,5.111361e+02
24,10,30,5.111361e+02
24,10,40,5.111361e+02
24,10,50,5.111361e+02
24,10,60,5.111361e+02
24,10,70,5.111361e+02
24,10,80,5.111361e+02
24,10,90,5.111361e+02
24,10,100,5.111361e+02
