funcid,dim,milestone,error
19,10,1,5.004434e+05
19,10,2,7.876607e+02
19,10,3,7.876607e+02
19,10,5,7.876607e+02
19,10,10,7.876607e+02
19,10,20,7.876607e+02
19,10,30,7.876607e+02
19,10,40,7.876607e+02
19,10,50,7.876607e+02
19,10,60,7.876607e+02
19,10,70,7.876607e+02
19,10,80,7.876607e+02
19,10,90,7.876607e+02
19,10,100,7.876607e+02
19,10,1,9.430775e+05
19,10,2,7.064004e+04
19,10,3,7.064004e+04
19,10,5,7.064004e+04
19,10,10,7.064004e+04
19,10,20,7.064004e+04
19,10,30,7.064004e+04
19,10,40,7.064004e+04
19,10,50,7.064004e+04
19,10,60,7.064004e+04
19,10,70,7.064004e+04
19,10,80,7.064004e+04
19,10,90,7.064004e+04
19,10,100,7.064004e+04
19,10,1,9.431794e+05
19,10,2,2.652681e+05
19,10,3,2.652681e+05
19,10,5,4.544064e+04
19,10,10,4.125325e+04
19,10,20,4.125325e+04
19,10,30,4.125325e+04
19,10,40,4.125325e+04
19,10,50,4.125325e+04
19,10,60,4.125325e+04
19,10,70,4.125325e+04
19,10,80,4.125325e+04
19,10,90,4.125325e+04
19,10,100,4.125325e+04
19,10,1,7.882057e+05
19,10,2,7.882057e+05
19,10,3,7.478185e+05
19,10,5,7.641859e+04
19,10,10,7.641859e+04
19,10,20,7.641859e+04
19,10,30,7.641859e+04
19,10,40,7.641859e+04
19,10,50,7.641859e+04
19,10,60,7.641859e+04
19,10,70,7.641859e+04
19,10,80,7.641859e+04
19,10,90,7.641859e+04
19,10,100,7.641859e+04
19,10,1,1.277528e+06
19,10,2,1.650062e+05
19,10,3,1.650062e+05
19,10,5,1.650062e+05
19,10,10,1.650062e+05
19,10,20,1.650062e+05
19,10,30,1.650062e+05
19,10,40,1.650062e+05
19,10,50,1.650062e+05
19,10,60,1.650062e+05
19,10,70,1.650062e+05
19,10,80,1.650062e+05
19,10,90,1.650062e+05
19,10,100,1.650062e+05
