funcid,dim,milestone,error
7,10,1,3.513616e+02
7,10,2,3.513616e+02
7,10,3,3.513616e+02
7,10,5,3.513616e+02
7,10,10,3.513616e+02
7,10,20,3.513616e+02
7,10,30,3.513616e+02
7,10,40,3.513616e+02
7,10,50,3.513616e+02
7,10,60,3.513616e+02
7,10,70,3.513616e+02
7,10,80,3.513616e+02
7,10,90,3.513616e+02
7,10,100,3.513616e+02
7,10,1,3.137995e+02
7,10,2,3.137995e+02
7,10,3,3.137995e+02
7,10,5,3.137995e+02
7,10,10,3.137995e+02
7,10,20,3.137995e+02
7,10,30,3.137995e+02
7,10,40,3.137995e+02
7,10,50,3.137995e+02
7,10,60,3.137995e+02
7,10,70,3.137995e+02
7,10,80,3.137995e+02
7,10,90,3.137995e+02
7,10,100,3.137995e+02
7,10,1,3.690307e+02
7,10,2,2.793340e+02
7,10,3,2.793340e+02
7,10,5,2.793340e+02
7,10,10,2.793340e+02
7,10,20,2.793340e+02
7,10,30,2.793340e+02
7,10,40,2.793340e+02
7,10,50,2.793340e+02
7,10,60,2.793340e+02
7,10,70,2.793340e+02
7,10,80,2.793340e+02
7,10,90,2.793340e+02
7,10,100,2.793340e+02
7,10,1,3.376025e+02
7,10,2,3.376025e+02
7,10,3,3.376025e+02
7,10,5,3.376025e+02
7,10,10,3.376025e+02
7,10,20,3.376025e+02
7,10,30,3.376025e+02
7,10,40,3.376025e+02
7,10,50,3.376025e+02
7,10,60,3.376025e+02
7,10,70,3.376025e+02
7,10,80,3.376025e+02
7,10,90,3.376025e+02
7,10,100,3.376025e+02
7,10,1,5.130534e+02
7,10,2,2.846793e+02
7,10,3,2.846793e+02
7,10,5,2.846793e+02
7,10,10,2.846793e+02
7,10,20,2.846793e+02
7,10,30,2.846793e+02
7,10,40,2.846793e+02
7,10,50,2.846793e+02
7,10,60,2.846793e+02
7,10,70,2.846793e+02
7,10,80,2.846793e+02
7,10,90,2.846793e+02
7,10,100,2.846793e+02
