funcid,dim,milestone,error
23,10,1,4.592061e+02
23,10,2,4.592061e+02
23,10,3,4.475597e+02
23,10,5,4.475597e+02
23,10,10,4.475597e+02
23,10,20,4.475597e+02
23,10,30,4.475597e+02
23,10,40,4.475597e+02
23,10,50,4.475597e+02
23,10,60,4.475597e+02
23,10,70,4.475597e+02
23,10,80,4.475597e+02
23,10,90,4.475597e+02
23,10,100,4.475597e+02
23,10,1,4.638557e+02
23,10,2,4.638557e+02
23,10,3,4.638557e+02
23,10,5,4.638557e+02
23,10,10,4.638557e+02
23,10,20,4.638557e+02
23,10,30,4.638557e+02
23,10,40,4.638557e+02
23,10,50,4.638557e+02
23,10,60,4.638557e+02
23,10,70,4.638557e+02
23,10,80,4.638557e+02
23,10,90,4.638557e+02
23,10,100,4.638557e+02
23,10,1,4.656796e+02
23,10,2,4.656796e+02
23,10,3,4.656796e+02
23,10,5,4.656796e+02
23,10,10,4.656796e+02
23,10,20,4.656796e+02
23,10,30,4.656796e+02
23,10,40,4.656796e+02
23,10,50,4.656796e+02
23,10,60,4.656796e+02
23,10,70,4.656796e+02
23,10,80,4.656796e+02
23,10,90,4.656796e+02
23,10,100,4.656796e+02
23,10,1,4.311374e+02
23,10,2,4.311374e+02
23,10,3,4.311374e+02
23,10,5,4.311374e+02
23,10,10,4.311374e+02
23,10,20,4.311374e+02
23,10,30,4.311374e+02
23,10,40,4.311374e+02
23,10,50,4.311374e+02
23,10,60,4.311374e+02
23,10,70,4.311374e+02
23,10,80,4.311374e+02
23,10,90,4.311374e+02
23,10,100,4.311374e+02
23,10,1,4.141035e+02
23,10,2,4.109452e+02
23,10,3,4.109452e+02
23,10,5,4.109452e+02
23,10,10,4.109452e+02
23,10,20,4.109452e+02
23,10,30,4.109452e+02
23,10,40,4.109452e+02
23,10,50,4.109452e+02
23,10,60,4.109452e+02
23,10,70,4.109452e+02
23,10,80,4.109452e+02
23,10,90,4.109452e+02
23,10,100,4.109452e+02
