funcid,dim,milestone,error
25,10,1,9.275043e+02
25,10,2,9.275043e+02
25,10,3,9.275043e+02
25,10,5,9.275043e+02
25,10,10,9.275043e+02
25,10,20,9.275043e+02
25,10,30,9.275043e+02
25,10,40,9.275043e+02
25,10,50,9.275043e+02
25,10,60,9.275043e+02
25,10,70,9.275043e+02
25,10,80,9.275043e+02
25,10,90,9.275043e+02
25,10,100,9.275043e+02
25,10,1,1.135143e+03
25,10,2,1.135143e+03
25,10,3,1.135143e+03
25,10,5,1.135143e+03
25,10,10,1.135143e+03
25,10,20,1.135143e+03
25,10,30,1.135143e+03
25,10,40,1.135143e+03
25,10,50,1.135143e+03
25,10,60,1.135143e+03
25,10,70,1.135143e+03
25,10,80,1.135143e+03
25,10,90,1.135143e+03
25,10,100,1.135143e+03
25,10,1,1.225668e+03
25,10,2,9.114557e+02
25,10,3,9.114557e+02
25,10,5,9.114557e+02
25,10,10,9.114557e+02
25,10,20,9.114557e+02
25,10,30,9.114557e+02
25,10,40,9.114557e+02
25,10,50,9.114557e+02
25,10,60,9.114557e+02
25,10,70,9.114557e+02
25,10,80,9.114557e+02
25,10,90,9.114557e+02
25,10,100,9.114557e+02
25,10,1,2.205129e+03
25,10,2,1.926657e+03
25,10,3,1.788187e+03
25,10,5,1.788187e+03
25,10,10,1.744138e+03
25,10,20,1.744138e+03
25,10,30,1.744138e+03
25,10,40,1.744138e+03
25,10,50,1.744138e+03
25,10,60,1.744138e+03
25,10,70,1.744138e+03
25,10,80,1.744138e+03
25,10,90,1.744138e+03
25,10,100,1.744138e+03
25,10,1,7.375423e+02
25,10,2,7.375423e+02
25,10,3,7.375423e+02
25,10,5,7.375423e+02
25,10,10,7.375423e+02
25,10,20,7.375423e+02
25,10,30,7.375423e+02
25,10,40,7.375423e+02
25,10,50,7.375423e+02
25,10,60,7.375423e+02
25,10,70,7.375423e+02
25,10,80,7.375423e+02
25,10,90,7.375423e+02
25,10,100,7.375423e+02
