funcid,dim,milestone,error
27,10,1,5.575042e+02
27,10,2,5.178256e+02
27,10,3,5.178256e+02
27,10,5,5.178256e+02
27,10,10,5.178256e+02
27,10,20,5.178256e+02
27,10,30,5.178256e+02
27,10,40,5.178256e+02
27,10,50,5.178256e+02
27,10,60,5.178256e+02
27,10,70,5.178256e+02
27,10,80,5.178256e+02
27,10,90,5.178256e+02
27,10,100,5.178256e+02
27,10,1,5.610953e+02
27,10,2,5.610953e+02
27,10,3,5.610953e+02
27,10,5,5.610953e+02
27,10,10,5.610953e+02
27,10,20,5.610953e+02
27,10,30,5.610953e+02
27,10,40,5.610953e+02
27,10,50,5.610953e+02
27,10,60,5.610953e+02
27,10,70,5.610953e+02
27,10,80,5.610953e+02
27,10,90,5.610953e+02
27,10,100,5.610953e+02
27,10,1,5.946141e+02
27,10,2,5.094618e+02
27,10,3,4.871792e+02
27,10,5,4.871792e+02
27,10,10,4.871792e+02
27,10,20,4.871792e+02
27,10,30,4.871792e+02
27,10,40,4.871792e+02
27,10,50,4.871792e+02
27,10,60,4.871792e+02
27,10,70,4.871792e+02
27,10,80,4.871792e+02
27,10,90,4.871792e+02
27,10,100,4.871792e+02
27,10,1,4.445641e+02
27,10,2,4.445641e+02
27,10,3,4.445641e+02
27,10,5,4.445641e+02
27,10,10,4.445641e+02
27,10,20,4.445641e+02
27,10,30,4.445641e+02
27,10,40,4.445641e+02
27,10,50,4.445641e+02
27,10,60,4.445641e+02
27,10,70,4.445641e+02
27,10,80,4.445641e+02
27,10,90,4.445641e+02
27,10,100,4.445641e+02
27,10,1,6.312758e+02
27,10,2,5.796727e+02
27,10,3,5.653683e+02
27,10,5,5.653683e+02
27,10,10,5.653683e+02
27,10,20,5.653683e+02
27,10,30,5.653683e+02
27,10,40,5.653683e+02
27,10,50,5.653683e+02
27,10,60,5.653683e+02
27,10,70,5.653683e+02
27,10,80,5.653683e+02
27,10,90,5.653683e+02
27,10,100,5.653683e+02
