funcid,dim,milestone,error
2,10,1,2.159216e+09
2,10,2,2.159216e+09
2,10,3,2.159216e+09
2,10,5,2.159216e+09
2,10,10,2.159216e+09
2,10,20,2.159216e+09
2,10,30,2.159216e+09
2,10,40,2.159216e+09
2,10,50,2.159216e+09
2,10,60,2.159216e+09
2,10,70,2.159216e+09
2,10,80,2.159216e+09
2,10,90,2.159216e+09
2,10,100,2.159216e+09
2,10,1,1.113544e+10
2,10,2,1.113544e+10
2,10,3,1.113544e+10
2,10,5,1.113544e+10
2,10,10,1.113544e+10
2,10,20,1.113544e+10
2,10,30,1.113544e+10
2,10,40,1.113544e+10
2,10,50,1.113544e+10
2,10,60,1.113544e+10
2,10,70,1.113544e+10
2,10,80,1.113544e+10
2,10,90,1.113544e+10
2,10,100,1.113544e+10
2,10,1,4.716354e+11
2,10,2,1.139924e+11
2,10,3,1.139924e+11
2,10,5,1.139924e+11
2,10,10,1.139924e+11
2,10,20,1.139924e+11
2,10,30,1.139924e+11
2,10,40,1.139924e+11
2,10,50,1.139924e+11
2,10,60,1.139924e+11
2,10,70,1.139924e+11
2,10,80,1.139924e+11
2,10,90,1.139924e+11
2,10,100,1.139924e+11
2,10,1,5.315147e+10
2,10,2,5.315147e+10
2,10,3,5.315147e+10
2,10,5,5.315147e+10
2,10,10,5.315147e+10
2,10,20,5.315147e+10
2,10,30,5.315147e+10
2,10,40,5.315147e+10
2,10,50,5.315147e+10
2,10,60,5.315147e+10
2,10,70,5.315147e+10
2,10,80,5.315147e+10
2,10,90,5.315147e+10
2,10,100,5.315147e+10
2,10,1,2.839227e+12
2,10,2,2.691960e+08
2,10,3,2.691960e+08
2,10,5,2.691960e+08
2,10,10,2.691960e+08
2,10,20,2.691960e+08
2,10,30,2.691960e+08
2,10,40,2.691960e+08
2,10,50,2.691960e+08
2,10,60,2.691960e+08
2,10,70,2.691960e+08
2,10,80,2.691960e+08
2,10,90,2.691960e+08
2,10,100,2.691960e+08
