funcid,dim,milestone,error
11,30,1,2.041970e+04
11,30,2,2.041970e+04
11,30,3,2.041970e+04
11,30,5,2.041970e+04
11,30,10,2.041970e+04
11,30,20,2.041970e+04
11,30,30,2.041970e+04
11,30,40,2.041970e+04
11,30,50,2.041970e+04
11,30,60,2.041970e+04
11,30,70,2.041970e+04
11,30,80,2.041970e+04
11,30,90,2.041970e+04
11,30,100,2.041970e+04
11,30,1,2.200532e+04
11,30,2,2.189452e+04
11,30,3,2.189452e+04
11,30,5,2.189452e+04
11,30,10,2.189452e+04
11,30,20,2.189452e+04
11,30,30,2.189452e+04
11,30,40,2.189452e+04
11,30,50,2.189452e+04
11,30,60,2.189452e+04
11,30,70,2.189452e+04
11,30,80,2.189452e+04
11,30,90,2.189452e+04
11,30,100,2.189452e+04
11,30,1,2.080386e+04
11,30,2,1.541863e+04
11,30,3,1.541863e+04
11,30,5,1.541863e+04
11,30,10,1.541863e+04
11,30,20,1.541863e+04
11,30,30,1.541863e+04
11,30,40,1.541863e+04
11,30,50,1.541863e+04
11,30,60,1.541863e+04
11,30,70,1.541863e+04
11,30,80,1.541863e+04
11,30,90,1.541863e+04
11,30,100,1.541863e+04
11,30,1,1.880620e+04
11,30,2,1.880620e+04
11,30,3,1.880620e+04
11,30,5,1.880620e+04
11,30,10,1.880620e+04
11,30,20,1.880620e+04
11,30,30,1.880620e+04
11,30,40,1.880620e+04
11,30,50,1.880620e+04
11,30,60,1.880620e+04
11,30,70,1.880620e+04
11,30,80,1.880620e+04
11,30,90,1.880620e+04
11,30,100,1.880620e+04
11,30,1,2.190633e+04
11,30,2,2.190633e+04
11,30,3,2.190633e+04
11,30,5,2.190633e+04
11,30,10,2.190633e+04
11,30,20,2.190633e+04
11,30,30,2.190633e+04
11,30,40,2.190633e+04
11,30,50,2.190633e+04
11,30,60,2.190633e+04
11,30,70,2.190633e+04
11,30,80,2.190633e+04
11,30,90,2.190633e+04
11,30,100,2.190633e+04
