funcid,dim,milestone,error
21,30,1,6.455123e+02
21,30,2,6.455123e+02
21,30,3,6.455123e+02
21,30,5,6.455123e+02
21,30,10,6.455123e+02
21,30,20,6.455123e+02
21,30,30,6.455123e+02
21,30,40,6.455123e+02
21,30,50,6.455123e+02
21,30,60,6.455123e+02
21,30,70,6.455123e+02
21,30,80,6.455123e+02
21,30,90,6.455123e+02
21,30,100,6.455123e+02
21,30,1,7.343184e+02
21,30,2,7.343184e+02
21,30,3,7.343184e+02
21,30,5,7.343184e+02
21,30,10,7.343184e+02
21,30,20,7.343184e+02
21,30,30,7.343184e+02
21,30,40,7.343184e+02
21,30,50,7.343184e+02
21,30,60,7.343184e+02
21,30,70,7.343184e+02
21,30,80,7.343184e+02
21,30,90,7.343184e+02
21,30,100,7.343184e+02
21,30,1,7.220046e+02
21,30,2,7.220046e+02
21,30,3,7.220046e+02
21,30,5,7.220046e+02
21,30,10,7.220046e+02
21,30,20,7.220046e+02
21,30,30,7.220046e+02
21,30,40,7.220046e+02
21,30,50,7.220046e+02
21,30,60,7.220046e+02
21,30,70,7.220046e+02
21,30,80,7.220046e+02
21,30,90,7.220046e+02
21,30,100,7.220046e+02
21,30,1,6.913533e+02
21,30,2,6.913533e+02
21,30,3,6.913533e+02
21,30,5,6.913533e+02
21,30,10,6.913533e+02
21,30,20,6.913533e+02
21,30,30,6.913533e+02
21,30,40,6.913533e+02
21,30,50,6.913533e+02
21,30,60,6.913533e+02
21,30,70,6.913533e+02
21,30,80,6.913533e+02
21,30,90,6.913533e+02
21,30,100,6.913533e+02
21,30,1,8.186171e+02
21,30,2,8.186171e+02
21,30,3,8.186171e+02
21,30,5,8.186171e+02
21,30,10,8.186171e+02
21,30,20,8.186171e+02
21,30,30,8.186171e+02
21,30,40,8.186171e+02
21,30,50,8.186171e+02
21,30,60,8.186171e+02
21,30,70,8.186171e+02
21,30,80,8.186171e+02
21,30,90,8.186171e+02
21,30,100,8.186171e+02
