funcid,dim,milestone,error
20,30,1,1.344329e+03
20,30,2,1.344329e+03
20,30,3,1.344329e+03
20,30,5,1.344329e+03
20,30,10,1.344329e+03
20,30,20,1.344329e+03
20,30,30,1.344329e+03
20,30,40,1.344329e+03
20,30,50,1.344329e+03
20,30,60,1.344329e+03
20,30,70,1.344329e+03
20,30,80,1.344329e+03
20,30,90,1.344329e+03
20,30,100,1.344329e+03
20,30,1,8.985018e+02
20,30,2,8.985018e+02
20,30,3,8.985018e+02
20,30,5,8.985018e+02
20,30,10,8.985018e+02
20,30,20,8.985018e+02
20,30,30,8.985018e+02
20,30,40,8.985018e+02
20,30,50,8.985018e+02
20,30,60,8.985018e+02
20,30,70,8.985018e+02
20,30,80,8.985018e+02
20,30,90,8.985018e+02
20,30,100,8.985018e+02
20,30,1,1.274170e+03
20,30,2,1.274170e+03
20,30,3,1.274170e+03
20,30,5,1.274170e+03
20,30,10,1.274170e+03
20,30,20,1.274170e+03
20,30,30,1.274170e+03
20,30,40,1.274170e+03
20,30,50,1.274170e+03
20,30,60,1.274170e+03
20,30,70,1.274170e+03
20,30,80,1.274170e+03
20,30,90,1.274170e+03
20,30,100,1.274170e+03
20,30,1,1.388823e+03
20,30,2,1.381001e+03
20,30,3,1.381001e+03
20,30,5,1.381001e+03
20,30,10,1.381001e+03
20,30,20,1.381001e+03
20,30,30,1.381001e+03
20,30,40,1.381001e+03
20,30,50,1.381001e+03
20,30,60,1.381001e+03
20,30,70,1.381001e+03
20,30,80,1.381001e+03
20,30,90,1.381001e+03
20,30,100,1.381001e+03
20,30,1,1.168747e+03
20,30,2,1.168747e+03
20,30,3,1.168747e+03
20,30,5,1.168747e+03
20,30,10,1.168747e+03
20,30,20,1.168747e+03
20,30,30,1.168747e+03
20,30,40,1.168747e+03
20,30,50,1.168747e+03
20,30,60,1.168747e+03
20,30,70,1.168747e+03
20,30,80,1.168747e+03
20,30,90,1.168747e+03
20,30,100,1.168747e+03
