funcid,dim,milestone,error
17,30,1,3.079659e+03
17,30,2,3.079659e+03
17,30,3,3.079659e+03
17,30,5,3.079659e+03
17,30,10,3.079659e+03
17,30,20,3.079659e+03
17,30,30,3.079659e+03
17,30,40,3.079659e+03
17,30,50,3.079659e+03
17,30,60,3.079659e+03
17,30,70,3.079659e+03
17,30,80,3.079659e+03
17,30,90,3.079659e+03
17,30,100,3.079659e+03
17,30,1,2.338365e+03
17,30,2,2.338365e+03
17,30,3,2.338365e+03
17,30,5,2.338365e+03
17,30,10,2.338365e+03
17,30,20,2.338365e+03
17,30,30,2.338365e+03
17,30,40,2.338365e+03
17,30,50,2.338365e+03
17,30,60,2.338365e+03
17,30,70,2.338365e+03
17,30,80,2.338365e+03
17,30,90,2.338365e+03
17,30,100,2.338365e+03
17,30,1,2.007523e+03
17,30,2,2.007523e+03
17,30,3,2.007523e+03
17,30,5,2.007523e+03
17,30,10,2.007523e+03
17,30,20,2.007523e+03
17,30,30,2.007523e+03
17,30,40,2.007523e+03
17,30,50,2.007523e+03
17,30,60,2.007523e+03
17,30,70,2.007523e+03
17,30,80,2.007523e+03
17,30,90,2.007523e+03
17,30,100,2.007523e+03
17,30,1,2.999893e+03
17,30,2,2.999893e+03
17,30,3,2.999893e+03
17,30,5,2.999893e+03
17,30,10,2.999893e+03
17,30,20,2.999893e+03
17,30,30,2.999893e+03
17,30,40,2.999893e+03
17,30,50,2.999893e+03
17,30,60,2.999893e+03
17,30,70,2.999893e+03
17,30,80,2.999893e+03
17,30,90,2.999893e+03
17,30,100,2.999893e+03
17,30,1,2.614902e+03
17,30,2,2.614902e+03
17,30,3,2.614902e+03
17,30,5,2.614902e+03
17,30,10,2.614902e+03
17,30,20,2.614902e+03
17,30,30,2.614902e+03
17,30,40,2.614902e+03
17,30,50,2.614902e+03
17,30,60,2.614902e+03
17,30,70,2.614902e+03
17,30,80,2.614902e+03
17,30,90,2.614902e+03
17,30,100,2.614902e+03
