funcid,dim,milestone,error
2,30,1,4.289333e+47
2,30,2,4.289333e+47
2,30,3,4.289333e+47
2,30,5,4.289333e+47
2,30,10,4.289333e+47
2,30,20,4.289333e+47
2,30,30,4.289333e+47
2,30,40,4.289333e+47
2,30,50,4.289333e+47
2,30,60,4.289333e+47
2,30,70,4.289333e+47
2,30,80,4.289333e+47
2,30,90,4.289333e+47
2,30,100,4.289333e+47
2,30,1,3.227660e+47
2,30,2,3.227660e+47
2,30,3,3.227660e+47
2,30,5,3.227660e+47
2,30,10,3.227660e+47
2,30,20,3.227660e+47
2,30,30,3.227660e+47
2,30,40,3.227660e+47
2,30,50,3.227660e+47
2,30,60,3.227660e+47
2,30,70,3.227660e+47
2,30,80,3.227660e+47
2,30,90,3.227660e+47
2,30,100,3.227660e+47
2,30,1,1.579213e+48
2,30,2,2.067803e+46
2,30,3,2.067803e+46
2,30,5,2.067803e+46
2,30,10,2.067803e+46
2,30,20,2.067803e+46
2,30,30,2.067803e+46
2,30,40,2.067803e+46
2,30,50,2.067803e+46
2,30,60,2.067803e+46
2,30,70,2.067803e+46
2,30,80,2.067803e+46
2,30,90,2.067803e+46
2,30,100,2.067803e+46
2,30,1,2.189249e+47
2,30,2,2.189249e+47
2,30,3,2.189249e+47
2,30,5,2.189249e+47
2,30,10,2.189249e+47
2,30,20,2.189249e+47
2,30,30,2.189249e+47
2,30,40,2.189249e+47
2,30,50,2.189249e+47
2,30,60,2.189249e+47
2,30,70,2.189249e+47
2,30,80,2.189249e+47
2,30,90,2.189249e+47
2,30,100,2.189249e+47
2,30,1,4.591294e+43
2,30,2,4.591294e+43
2,30,3,4.591294e+43
2,30,5,4.591294e+43
2,30,10,4.591294e+43
2,30,20,4.591294e+43
2,30,30,4.591294e+43
2,30,40,4.591294e+43
2,30,50,4.591294e+43
2,30,60,4.591294e+43
2,30,70,4.591294e+43
2,30,80,4.591294e+43
2,30,90,4.591294e+43
2,30,100,4.591294e+43
