funcid,dim,milestone,error
15,30,1,1.788663e+09
15,30,2,1.788643e+09
15,30,3,1.788643e+09
15,30,5,1.788643e+09
15,30,10,1.788643e+09
15,30,20,1.788643e+09
15,30,30,1.788643e+09
15,30,40,1.788643e+09
15,30,50,1.788643e+09
15,30,60,1.788643e+09
15,30,70,1.788643e+09
15,30,80,1.788643e+09
15,30,90,1.788643e+09
15,30,100,1.788643e+09
15,30,1,8.309890e+08
15,30,2,8.309872e+08
15,30,3,7.248914e+08
15,30,5,5.930809e+08
15,30,10,5.930809e+08
15,30,20,5.930809e+08
15,30,30,5.930809e+08
15,30,40,5.930809e+08
15,30,50,5.930809e+08
15,30,60,5.930809e+08
15,30,70,5.930809e+08
15,30,80,5.930809e+08
15,30,90,5.930809e+08
15,30,100,5.930809e+08
15,30,1,1.987360e+09
15,30,2,1.987360e+09
15,30,3,1.987360e+09
15,30,5,9.676318e+08
15,30,10,9.676318e+08
15,30,20,9.676318e+08
15,30,30,9.676318e+08
15,30,40,9.676318e+08
15,30,50,9.676318e+08
15,30,60,9.676318e+08
15,30,70,9.676318e+08
15,30,80,9.676318e+08
15,30,90,9.676318e+08
15,30,100,9.676318e+08
15,30,1,3.409742e+09
15,30,2,3.409742e+09
15,30,3,3.409742e+09
15,30,5,3.409742e+09
15,30,10,3.409742e+09
15,30,20,8.452051e+08
15,30,30,8.452051e+08
15,30,40,8.452051e+08
15,30,50,8.452051e+08
15,30,60,8.452051e+08
15,30,70,8.452051e+08
15,30,80,8.452051e+08
15,30,90,8.452051e+08
15,30,100,8.452051e+08
15,30,1,4.946502e+09
15,30,2,3.196516e+09
15,30,3,1.201917e+09
15,30,5,1.201892e+09
15,30,10,1.201892e+09
15,30,20,1.201892e+09
15,30,30,1.201892e+09
15,30,40,1.201892e+09
15,30,50,1.201892e+09
15,30,60,1.201892e+09
15,30,70,1.201892e+09
15,30,80,1.201892e+09
15,30,90,1.201892e+09
15,30,100,1.201892e+09
