funcid,dim,milestone,error
13,30,1,1.888557e+09
13,30,2,1.888557e+09
13,30,3,1.888557e+09
13,30,5,1.888557e+09
13,30,10,1.888557e+09
13,30,20,1.888557e+09
13,30,30,1.888557e+09
13,30,40,1.888557e+09
13,30,50,1.888557e+09
13,30,60,1.888557e+09
13,30,70,1.888557e+09
13,30,80,1.888557e+09
13,30,90,1.888557e+09
13,30,100,1.888557e+09
13,30,1,1.754341e+09
13,30,2,1.754341e+09
13,30,3,1.754341e+09
13,30,5,1.754341e+09
13,30,10,1.754341e+09
13,30,20,1.754341e+09
13,30,30,1.754341e+09
13,30,40,1.754341e+09
13,30,50,1.754341e+09
13,30,60,1.754341e+09
13,30,70,1.754341e+09
13,30,80,1.754341e+09
13,30,90,1.754341e+09
13,30,100,1.754341e+09
13,30,1,6.883805e+09
13,30,2,6.883805e+09
13,30,3,6.883805e+09
13,30,5,6.883805e+09
13,30,10,6.883805e+09
13,30,20,6.883805e+09
13,30,30,6.883805e+09
13,30,40,6.883805e+09
13,30,50,6.883805e+09
13,30,60,6.883805e+09
13,30,70,6.883805e+09
13,30,80,6.883805e+09
13,30,90,6.883805e+09
13,30,100,6.883805e+09
13,30,1,2.957789e+09
13,30,2,2.957789e+09
13,30,3,2.957789e+09
13,30,5,2.957789e+09
13,30,10,2.957789e+09
13,30,20,2.957789e+09
13,30,30,2.957789e+09
13,30,40,2.957789e+09
13,30,50,2.957789e+09
13,30,60,2.957789e+09
13,30,70,2.957789e+09
13,30,80,2.957789e+09
13,30,90,2.957789e+09
13,30,100,2.957789e+09
13,30,1,6.035257e+08
13,30,2,6.035257e+08
13,30,3,6.035257e+08
13,30,5,6.035257e+08
13,30,10,6.035257e+08
13,30,20,6.035257e+08
13,30,30,6.035257e+08
13,30,40,6.035257e+08
13,30,50,6.035257e+08
13,30,60,6.035257e+08
13,30,70,6.035257e+08
13,30,80,6.035257e+08
13,30,90,6.035257e+08
13,30,100,6.035257e+08
