funcid,dim,milestone,error
16,30,1,2.925052e+03
16,30,2,2.925052e+03
16,30,3,2.925052e+03
16,30,5,2.925052e+03
16,30,10,2.925052e+03
16,30,20,2.925052e+03
16,30,30,2.925052e+03
16,30,40,2.925052e+03
16,30,50,2.925052e+03
16,30,60,2.925052e+03
16,30,70,2.925052e+03
16,30,80,2.925052e+03
16,30,90,2.925052e+03
16,30,100,2.925052e+03
16,30,1,2.932437e+03
16,30,2,2.932437e+03
16,30,3,2.932437e+03
16,30,5,2.932437e+03
16,30,10,2.932437e+03
16,30,20,2.932437e+03
16,30,30,2.932437e+03
16,30,40,2.932437e+03
16,30,50,2.932437e+03
16,30,60,2.932437e+03
16,30,70,2.932437e+03
16,30,80,2.932437e+03
16,30,90,2.932437e+03
16,30,100,2.932437e+03
16,30,1,2.355993e+03
16,30,2,2.355993e+03
16,30,3,2.355993e+03
16,30,5,2.355993e+03
16,30,10,2.355993e+03
16,30,20,2.355993e+03
16,30,30,2.355993e+03
16,30,40,2.355993e+03
16,30,50,2.355993e+03
16,30,60,2.355993e+03
16,30,70,2.355993e+03
16,30,80,2.355993e+03
16,30,90,2.355993e+03
16,30,100,2.355993e+03
16,30,1,2.865126e+03
16,30,2,2.865126e+03
16,30,3,2.865126e+03
16,30,5,2.865126e+03
16,30,10,2.865126e+03
16,30,20,2.865126e+03
16,30,30,2.865126e+03
16,30,40,2.865126e+03
16,30,50,2.865126e+03
16,30,60,2.865126e+03
16,30,70,2.865126e+03
16,30,80,2.865126e+03
16,30,90,2.865126e+03
16,30,100,2.865126e+03
16,30,1,2.636246e+03
16,30,2,2.636246e+03
16,30,3,2.636246e+03
16,30,5,2.636246e+03
16,30,10,2.636246e+03
16,30,20,2.636246e+03
16,30,30,2.636246e+03
16,30,40,2.636246e+03
16,30,50,2.636246e+03
16,30,60,2.636246e+03
16,30,70,2.636246e+03
16,30,80,2.636246e+03
16,30,90,2.636246e+03
16,30,100,2.636246e+03
