funcid,dim,milestone,error
21,50,1,1.445742e+03
21,50,2,1.445742e+03
21,50,3,1.445742e+03
21,50,5,1.445742e+03
21,50,10,1.445742e+03
21,50,20,1.445742e+03
21,50,30,1.445742e+03
21,50,40,1.445742e+03
21,50,50,1.445742e+03
21,50,60,1.445742e+03
21,50,70,1.445742e+03
21,50,80,1.445742e+03
21,50,90,1.445742e+03
21,50,100,1.445742e+03
21,50,1,1.392401e+03
21,50,2,1.392401e+03
21,50,3,1.392401e+03
21,50,5,1.392401e+03
21,50,10,1.392401e+03
21,50,20,1.392401e+03
21,50,30,1.392401e+03
21,50,40,1.392401e+03
21,50,50,1.392401e+03
21,50,60,1.392401e+03
21,50,70,1.392401e+03
21,50,80,1.392401e+03
21,50,90,1.392401e+03
21,50,100,1.392401e+03
21,50,1,1.379633e+03
21,50,2,1.379633e+03
21,50,3,1.379633e+03
21,50,5,1.379633e+03
21,50,10,1.379633e+03
21,50,20,1.379633e+03
21,50,30,1.379633e+03
21,50,40,1.379633e+03
21,50,50,1.379633e+03
21,50,60,1.379633e+03
21,50,70,1.379633e+03
21,50,80,1.379633e+03
21,50,90,1.379633e+03
21,50,100,1.379633e+03
21,50,1,1.268462e+03
21,50,2,1.268462e+03
21,50,3,1.268462e+03
21,50,5,1.268462e+03
21,50,10,1.268462e+03
21,50,20,1.268462e+03
21,50,30,1.268462e+03
21,50,40,1.268462e+03
21,50,50,1.268462e+03
21,50,60,1.268462e+03
21,50,70,1.268462e+03
21,50,80,1.268462e+03
21,50,90,1.268462e+03
21,50,100,1.268462e+03
21,50,1,1.262751e+03
21,50,2,1.262751e+03
21,50,3,1.262751e+03
21,50,5,1.262751e+03
21,50,10,1.262751e+03
21,50,20,1.262751e+03
21,50,30,1.262751e+03
21,50,40,1.262751e+03
21,50,50,1.262751e+03
21,50,60,1.262751e+03
21,50,70,1.262751e+03
21,50,80,1.262751e+03
21,50,90,1.262751e+03
21,50,100,1.262751e+03
