funcid,dim,milestone,error
28,50,1,1.771063e+04
28,50,2,1.771063e+04
28,50,3,1.771063e+04
28,50,5,1.771063e+04
28,50,10,1.771063e+04
28,50,20,1.771063e+04
28,50,30,1.771063e+04
28,50,40,1.771063e+04
28,50,50,1.771063e+04
28,50,60,1.771063e+04
28,50,70,1.771063e+04
28,50,80,1.771063e+04
28,50,90,1.771063e+04
28,50,100,1.771063e+04
28,50,1,1.743323e+04
28,50,2,1.743323e+04
28,50,3,1.743323e+04
28,50,5,1.743323e+04
28,50,10,1.743323e+04
28,50,20,1.743323e+04
28,50,30,1.743323e+04
28,50,40,1.743323e+04
28,50,50,1.743323e+04
28,50,60,1.743323e+04
28,50,70,1.743323e+04
28,50,80,1.743323e+04
28,50,90,1.743323e+04
28,50,100,1.743323e+04
28,50,1,1.614969e+04
28,50,2,1.614969e+04
28,50,3,1.614969e+04
28,50,5,1.614969e+04
28,50,10,1.614969e+04
28,50,20,1.614969e+04
28,50,30,1.614969e+04
28,50,40,1.614969e+04
28,50,50,1.614969e+04
28,50,60,1.614969e+04
28,50,70,1.614969e+04
28,50,80,1.614969e+04
28,50,90,1.614969e+04
28,50,100,1.614969e+04
28,50,1,1.695592e+04
28,50,2,1.695592e+04
28,50,3,1.695592e+04
28,50,5,1.695592e+04
28,50,10,1.695592e+04
28,50,20,1.695592e+04
28,50,30,1.695592e+04
28,50,40,1.695592e+04
28,50,50,1.695592e+04
28,50,60,1.695592e+04
28,50,70,1.695592e+04
28,50,80,1.695592e+04
28,50,90,1.695592e+04
28,50,100,1.695592e+04
28,50,1,1.836188e+04
28,50,2,1.836188e+04
28,50,3,1.836188e+04
28,50,5,1.836188e+04
28,50,10,1.836188e+04
28,50,20,1.836188e+04
28,50,30,1.836188e+04
28,50,40,1.836188e+04
28,50,50,1.836188e+04
28,50,60,1.836188e+04
28,50,70,1.836188e+04
28,50,80,1.836188e+04
28,50,90,1.836188e+04
28,50,100,1.836188e+04
