funcid,dim,milestone,error
23,50,1,2.555154e+03
23,50,2,2.555154e+03
23,50,3,2.555154e+03
23,50,5,2.555154e+03
23,50,10,2.555154e+03
23,50,20,2.555154e+03
23,50,30,2.555154e+03
23,50,40,2.555154e+03
23,50,50,2.555154e+03
23,50,60,2.555154e+03
23,50,70,2.555154e+03
23,50,80,2.555154e+03
23,50,90,2.555154e+03
23,50,100,2.555154e+03
23,50,1,2.714364e+03
23,50,2,2.714364e+03
23,50,3,2.714364e+03
23,50,5,2.714364e+03
23,50,10,2.714364e+03
23,50,20,2.714364e+03
23,50,30,2.714364e+03
23,50,40,2.714364e+03
23,50,50,2.714364e+03
23,50,60,2.714364e+03
23,50,70,2.714364e+03
23,50,80,2.714364e+03
23,50,90,2.714364e+03
23,50,100,2.714364e+03
23,50,1,2.557413e+03
23,50,2,2.557413e+03
23,50,3,2.557413e+03
23,50,5,2.557413e+03
23,50,10,2.557413e+03
23,50,20,2.557413e+03
23,50,30,2.557413e+03
23,50,40,2.557413e+03
23,50,50,2.557413e+03
23,50,60,2.557413e+03
23,50,70,2.557413e+03
23,50,80,2.557413e+03
23,50,90,2.557413e+03
23,50,100,2.557413e+03
23,50,1,2.078403e+03
23,50,2,2.078403e+03
23,50,3,2.078403e+03
23,50,5,2.078403e+03
23,50,10,2.078403e+03
23,50,20,2.078403e+03
23,50,30,2.078403e+03
23,50,40,2.078403e+03
23,50,50,2.078403e+03
23,50,60,2.078403e+03
23,50,70,2.078403e+03
23,50,80,2.078403e+03
23,50,90,2.078403e+03
23,50,100,2.078403e+03
23,50,1,2.612524e+03
23,50,2,2.612524e+03
23,50,3,2.612524e+03
23,50,5,2.612524e+03
23,50,10,2.612524e+03
23,50,20,2.612524e+03
23,50,30,2.612524e+03
23,50,40,2.612524e+03
23,50,50,2.612524e+03
23,50,60,2.612524e+03
23,50,70,2.612524e+03
23,50,80,2.612524e+03
23,50,90,2.612524e+03
23,50,100,2.612524e+03
