funcid,dim,milestone,error
10,10,1,1.943254e+03
10,10,2,1.760377e+03
10,10,3,1.760377e+03
10,10,5,1.760377e+03
10,10,10,1.760377e+03
10,10,20,1.760377e+03
10,10,30,1.760377e+03
10,10,40,1.760377e+03
10,10,50,1.760377e+03
10,10,60,1.760377e+03
10,10,70,1.760377e+03
10,10,80,1.760377e+03
10,10,90,1.760377e+03
10,10,100,1.760377e+03
10,10,1,1.651396e+03
10,10,2,1.651396e+03
10,10,3,1.651396e+03
10,10,5,1.651396e+03
10,10,10,1.651396e+03
10,10,20,1.651396e+03
10,10,30,1.651396e+03
10,10,40,1.651396e+03
10,10,50,1.651396e+03
10,10,60,1.651396e+03
10,10,70,1.651396e+03
10,10,80,1.651396e+03
10,10,90,1.651396e+03
10,10,100,1.651396e+03
10,10,1,1.499230e+03
10,10,2,1.499230e+03
10,10,3,1.499230e+03
10,10,5,1.499230e+03
10,10,10,1.499230e+03
10,10,20,1.499230e+03
10,10,30,1.499230e+03
10,10,40,1.499230e+03
10,10,50,1.499230e+03
10,10,60,1.499230e+03
10,10,70,1.499230e+03
10,10,80,1.499230e+03
10,10,90,1.499230e+03
10,10,100,1.499230e+03
10,10,1,1.837220e+03
10,10,2,1.754225e+03
10,10,3,1.422617e+03
10,10,5,1.422617e+03
10,10,10,1.422617e+03
10,10,20,1.422617e+03
10,10,30,1.422617e+03
10,10,40,1.422617e+03
10,10,50,1.422617e+03
10,10,60,1.422617e+03
10,10,70,1.422617e+03
10,10,80,1.422617e+03
10,10,90,1.422617e+03
10,10,100,1.422617e+03
10,10,1,2.336358e+03
10,10,2,2.079047e+03
10,10,3,2.079047e+03
10,10,5,2.079047e+03
10,10,10,2.079047e+03
10,10,20,2.079047e+03
10,10,30,2.079047e+03
10,10,40,2.079047e+03
10,10,50,2.079047e+03
10,10,60,2.079047e+03
10,10,70,2.079047e+03
10,10,80,2.079047e+03
10,10,90,2.079047e+03
10,10,100,2.079047e+03
