funcid,dim,milestone,error
29,10,1,6.115152e+02
29,10,2,6.115152e+02
29,10,3,6.115152e+02
29,10,5,6.115152e+02
29,10,10,6.115152e+02
29,10,20,6.115152e+02
29,10,30,6.115152e+02
29,10,40,6.115152e+02
29,10,50,6.115152e+02
29,10,60,6.115152e+02
29,10,70,6.115152e+02
29,10,80,6.115152e+02
29,10,90,6.115152e+02
29,10,100,6.115152e+02
29,10,1,4.663723e+02
29,10,2,4.663723e+02
29,10,3,4.663723e+02
29,10,5,4.663723e+02
29,10,10,4.663723e+02
29,10,20,4.663723e+02
29,10,30,4.663723e+02
29,10,40,4.663723e+02
29,10,50,4.663723e+02
29,10,60,4.663723e+02
29,10,70,4.663723e+02
29,10,80,4.663723e+02
29,10,90,4.663723e+02
29,10,100,4.663723e+02
29,10,1,8.620609e+02
29,10,2,8.620609e+02
29,10,3,8.620609e+02
29,10,5,8.620609e+02
29,10,10,5.352173e+02
29,10,20,5.352173e+02
29,10,30,5.352173e+02
29,10,40,5.352173e+02
29,10,50,5.352173e+02
29,10,60,5.352173e+02
29,10,70,5.352173e+02
29,10,80,5.352173e+02
29,10,90,5.352173e+02
29,10,100,5.352173e+02
29,10,1,4.610859e+02
29,10,2,4.610859e+02
29,10,3,4.610859e+02
29,10,5,4.610859e+02
29,10,10,4.610859e+02
29,10,20,4.610859e+02
29,10,30,4.610859e+02
29,10,40,4.610859e+02
29,10,50,4.610859e+02
29,10,60,4.610859e+02
29,10,70,4.610859e+02
29,10,80,4.610859e+02
29,10,90,4.610859e+02
29,10,100,4.610859e+02
29,10,1,6.585571e+02
29,10,2,6.585571e+02
29,10,3,6.585571e+02
29,10,5,6.429619e+02
29,10,10,4.275473e+02
29,10,20,4.275473e+02
29,10,30,4.275473e+02
29,10,40,4.275473e+02
29,10,50,4.275473e+02
29,10,60,4.275473e+02
29,10,70,4.275473e+02
29,10,80,4.275473e+02
29,10,90,4.275473e+02
29,10,100,4.275473e+02
