funcid,dim,milestone,error
6,10,1,9.119361e+01
6,10,2,7.925355e+01
6,10,3,7.925355e+01
6,10,5,7.925355e+01
6,10,10,7.925355e+01
6,10,20,7.925355e+01
6,10,30,7.925355e+01
6,10,40,7.925355e+01
6,10,50,7.925355e+01
6,10,60,7.925355e+01
6,10,70,7.925355e+01
6,10,80,7.925355e+01
6,10,90,7.925355e+01
6,10,100,7.925355e+01
6,10,1,6.877332e+01
6,10,2,6.877332e+01
6,10,3,6.877332e+01
6,10,5,3.695067e+01
6,10,10,3.695067e+01
6,10,20,3.695067e+01
6,10,30,3.695067e+01
6,10,40,3.695067e+01
6,10,50,3.695067e+01
6,10,60,3.695067e+01
6,10,70,3.695067e+01
6,10,80,3.695067e+01
6,10,90,3.695067e+01
6,10,100,3.695067e+01
6,10,1,5.557013e+01
6,10,2,5.557013e+01
6,10,3,5.557013e+01
6,10,5,5.557013e+01
6,10,10,5.557013e+01
6,10,20,5.557013e+01
6,10,30,5.557013e+01
6,10,40,5.557013e+01
6,10,50,5.557013e+01
6,10,60,5.557013e+01
6,10,70,5.557013e+01
6,10,80,5.557013e+01
6,10,90,5.557013e+01
6,10,100,5.557013e+01
6,10,1,7.177631e+01
6,10,2,7.177631e+01
6,10,3,7.177631e+01
6,10,5,5.048413e+01
6,10,10,5.048413e+01
6,10,20,5.048413e+01
6,10,30,5.048413e+01
6,10,40,5.048413e+01
6,10,50,5.048413e+01
6,10,60,5.048413e+01
6,10,70,5.048413e+01
6,10,80,5.048413e+01
6,10,90,5.048413e+01
6,10,100,5.048413e+01
6,10,1,4.548628e+01
6,10,2,4.548628e+01
6,10,3,4.548628e+01
6,10,5,4.548628e+01
6,10,10,4.548628e+01
6,10,20,4.548628e+01
6,10,30,4.548628e+01
6,10,40,4.548628e+01
6,10,50,4.548628e+01
6,10,60,4.548628e+01
6,10,70,4.548628e+01
6,10,80,4.548628e+01
6,10,90,4.548628e+01
6,10,100,4.548628e+01
