funcid,dim,milestone,error
9,10,1,9.248596e+02
9,10,2,9.248596e+02
9,10,3,9.248596e+02
9,10,5,9.248596e+02
9,10,10,9.248596e+02
9,10,20,9.248596e+02
9,10,30,9.248596e+02
9,10,40,9.248596e+02
9,10,50,9.248596e+02
9,10,60,9.248596e+02
9,10,70,9.248596e+02
9,10,80,9.248596e+02
9,10,90,9.248596e+02
9,10,100,9.248596e+02
9,10,1,1.392499e+03
9,10,2,1.392499e+03
9,10,3,1.392499e+03
9,10,5,1.392499e+03
9,10,10,1.392499e+03
9,10,20,1.392499e+03
9,10,30,1.392499e+03
9,10,40,1.392499e+03
9,10,50,1.392499e+03
9,10,60,1.392499e+03
9,10,70,1.392499e+03
9,10,80,1.392499e+03
9,10,90,1.392499e+03
9,10,100,1.392499e+03
9,10,1,4.030861e+03
9,10,2,3.020991e+03
9,10,3,3.020991e+03
9,10,5,3.020991e+03
9,10,10,1.403974e+03
9,10,20,1.403974e+03
9,10,30,1.403974e+03
9,10,40,1.403974e+03
9,10,50,1.403974e+03
9,10,60,1.403974e+03
9,10,70,1.403974e+03
9,10,80,1.403974e+03
9,10,90,1.403974e+03
9,10,100,1.403974e+03
9,10,1,3.003361e+03
9,10,2,3.003361e+03
9,10,3,2.330998e+03
9,10,5,1.876962e+03
9,10,10,1.876962e+03
9,10,20,1.876962e+03
9,10,30,1.876962e+03
9,10,40,1.876962e+03
9,10,50,1.876962e+03
9,10,60,1.876962e+03
9,10,70,1.876962e+03
9,10,80,1.876962e+03
9,10,90,1.876962e+03
9,10,100,1.876962e+03
9,10,1,3.549538e+03
9,10,2,3.549538e+03
9,10,3,3.549538e+03
9,10,5,2.508789e+03
9,10,10,8.725415e+02
9,10,20,8.725415e+02
9,10,30,8.725415e+02
9,10,40,8.725415e+02
9,10,50,8.725415e+02
9,10,60,8.725415e+02
9,10,70,8.725415e+02
9,10,80,8.725415e+02
9,10,90,8.725415e+02
9,10,100,8.725415e+02
