funcid,dim,milestone,error
25,10,1,9.850230e+02
25,10,2,9.850230e+02
25,10,3,9.850230e+02
25,10,5,9.850230e+02
25,10,10,7.318921e+02
25,10,20,7.318921e+02
25,10,30,7.318921e+02
25,10,40,7.318921e+02
25,10,50,7.318921e+02
25,10,60,7.318921e+02
25,10,70,7.318921e+02
25,10,80,7.318921e+02
25,10,90,7.318921e+02
25,10,100,7.318921e+02
25,10,1,7.434304e+02
25,10,2,7.434304e+02
25,10,3,7.434304e+02
25,10,5,7.434304e+02
25,10,10,7.434304e+02
25,10,20,7.434304e+02
25,10,30,7.434304e+02
25,10,40,7.434304e+02
25,10,50,7.434304e+02
25,10,60,7.434304e+02
25,10,70,7.434304e+02
25,10,80,7.434304e+02
25,10,90,7.434304e+02
25,10,100,7.434304e+02
25,10,1,6.248104e+02
25,10,2,5.910218e+02
25,10,3,5.910218e+02
25,10,5,5.910218e+02
25,10,10,5.910218e+02
25,10,20,5.910218e+02
25,10,30,5.910218e+02
25,10,40,5.910218e+02
25,10,50,5.910218e+02
25,10,60,5.910218e+02
25,10,70,5.910218e+02
25,10,80,5.910218e+02
25,10,90,5.910218e+02
25,10,100,5.910218e+02
25,10,1,1.289858e+03
25,10,2,1.023171e+03
25,10,3,1.023171e+03
25,10,5,1.023171e+03
25,10,10,1.023171e+03
25,10,20,1.023171e+03
25,10,30,1.023171e+03
25,10,40,1.023171e+03
25,10,50,1.023171e+03
25,10,60,1.023171e+03
25,10,70,1.023171e+03
25,10,80,1.023171e+03
25,10,90,1.023171e+03
25,10,100,1.023171e+03
25,10,1,5.955288e+02
25,10,2,5.955288e+02
25,10,3,5.955288e+02
25,10,5,5.955288e+02
25,10,10,5.955288e+02
25,10,20,5.955288e+02
25,10,30,5.955288e+02
25,10,40,5.955288e+02
25,10,50,5.955288e+02
25,10,60,5.955288e+02
25,10,70,5.955288e+02
25,10,80,5.955288e+02
25,10,90,5.955288e+02
25,10,100,5.955288e+02
