funcid,dim,milestone,error
17,50,1,2.234677e+03
17,50,2,2.098258e+03
17,50,3,2.085030e+03
17,50,5,2.084080e+03
17,50,10,2.083615e+03
17,50,20,2.083612e+03
17,50,30,2.083612e+03
17,50,40,2.083612e+03
17,50,50,2.083612e+03
17,50,60,2.083612e+03
17,50,70,2.083612e+03
17,50,80,2.083612e+03
17,50,90,2.083612e+03
17,50,100,2.083612e+03
17,50,1,2.203401e+03
17,50,2,2.075601e+03
17,50,3,2.063520e+03
17,50,5,2.059896e+03
17,50,10,2.055958e+03
17,50,20,2.055932e+03
17,50,30,2.055932e+03
17,50,40,2.055932e+03
17,50,50,2.055932e+03
17,50,60,2.055932e+03
17,50,70,2.055932e+03
17,50,80,2.055932e+03
17,50,90,2.055932e+03
17,50,100,2.055932e+03
17,50,1,2.621002e+03
17,50,2,2.432047e+03
17,50,3,2.425100e+03
17,50,5,2.416973e+03
17,50,10,2.414988e+03
17,50,20,2.414988e+03
17,50,30,2.414988e+03
17,50,40,2.414988e+03
17,50,50,2.414988e+03
17,50,60,2.414988e+03
17,50,70,2.414988e+03
17,50,80,2.414988e+03
17,50,90,2.414988e+03
17,50,100,2.414988e+03
17,50,1,2.378234e+03
17,50,2,2.101676e+03
17,50,3,2.091912e+03
17,50,5,2.089481e+03
17,50,10,2.088515e+03
17,50,20,2.088515e+03
17,50,30,2.088515e+03
17,50,40,2.088515e+03
17,50,50,2.088515e+03
17,50,60,2.088515e+03
17,50,70,2.088515e+03
17,50,80,2.088515e+03
17,50,90,2.088515e+03
17,50,100,2.088515e+03
17,50,1,2.005214e+03
17,50,2,1.861896e+03
17,50,3,1.835481e+03
17,50,5,1.818228e+03
17,50,10,1.814023e+03
17,50,20,1.814021e+03
17,50,30,1.814021e+03
17,50,40,1.814021e+03
17,50,50,1.814021e+03
17,50,60,1.814021e+03
17,50,70,1.814021e+03
17,50,80,1.814021e+03
17,50,90,1.814021e+03
17,50,100,1.814021e+03
