funcid,dim,milestone,error
11,50,1,3.342194e+04
11,50,2,9.100916e+02
11,50,3,6.890360e+02
11,50,5,6.478831e+02
11,50,10,6.044663e+02
11,50,20,6.031232e+02
11,50,30,6.031232e+02
11,50,40,6.031232e+02
11,50,50,6.031232e+02
11,50,60,6.031232e+02
11,50,70,6.031232e+02
11,50,80,6.031232e+02
11,50,90,6.031232e+02
11,50,100,6.031232e+02
11,50,1,9.375381e+03
11,50,2,8.578488e+02
11,50,3,6.306193e+02
11,50,5,5.587080e+02
11,50,10,5.130515e+02
11,50,20,5.107989e+02
11,50,30,5.107989e+02
11,50,40,5.107989e+02
11,50,50,5.107989e+02
11,50,60,5.107989e+02
11,50,70,5.107989e+02
11,50,80,5.107989e+02
11,50,90,5.107989e+02
11,50,100,5.107989e+02
11,50,1,1.636558e+04
11,50,2,9.542813e+02
11,50,3,6.605498e+02
11,50,5,5.560517e+02
11,50,10,4.753190e+02
11,50,20,4.726095e+02
11,50,30,4.726095e+02
11,50,40,4.726095e+02
11,50,50,4.726095e+02
11,50,60,4.726095e+02
11,50,70,4.726095e+02
11,50,80,4.726095e+02
11,50,90,4.726095e+02
11,50,100,4.726095e+02
11,50,1,1.212293e+04
11,50,2,8.553857e+02
11,50,3,7.506267e+02
11,50,5,7.042837e+02
11,50,10,6.574915e+02
11,50,20,6.571601e+02
11,50,30,6.571601e+02
11,50,40,6.571601e+02
11,50,50,6.571601e+02
11,50,60,6.571601e+02
11,50,70,6.571601e+02
11,50,80,6.571601e+02
11,50,90,6.571601e+02
11,50,100,6.571601e+02
11,50,1,1.552071e+04
11,50,2,1.076694e+03
11,50,3,6.345990e+02
11,50,5,4.863788e+02
11,50,10,4.217037e+02
11,50,20,4.217037e+02
11,50,30,4.217037e+02
11,50,40,4.217037e+02
11,50,50,4.217037e+02
11,50,60,4.217037e+02
11,50,70,4.217037e+02
11,50,80,4.217037e+02
11,50,90,4.217037e+02
11,50,100,4.217037e+02
