funcid,dim,milestone,error
22,50,1,1.278734e+04
22,50,2,1.278734e+04
22,50,3,1.278734e+04
22,50,5,1.278734e+04
22,50,10,1.278734e+04
22,50,20,1.278734e+04
22,50,30,1.278734e+04
22,50,40,1.278734e+04
22,50,50,1.278734e+04
22,50,60,1.278734e+04
22,50,70,1.278734e+04
22,50,80,1.278734e+04
22,50,90,1.278734e+04
22,50,100,1.278734e+04
22,50,1,1.183199e+04
22,50,2,1.183199e+04
22,50,3,1.183199e+04
22,50,5,1.183199e+04
22,50,10,1.183199e+04
22,50,20,1.183199e+04
22,50,30,1.183199e+04
22,50,40,1.183199e+04
22,50,50,1.183199e+04
22,50,60,1.183199e+04
22,50,70,1.183199e+04
22,50,80,1.183199e+04
22,50,90,1.183199e+04
22,50,100,1.183199e+04
22,50,1,1.209411e+04
22,50,2,1.209411e+04
22,50,3,1.209411e+04
22,50,5,1.209411e+04
22,50,10,1.209411e+04
22,50,20,1.209411e+04
22,50,30,1.209411e+04
22,50,40,1.209411e+04
22,50,50,1.209411e+04
22,50,60,1.209411e+04
22,50,70,1.209411e+04
22,50,80,1.209411e+04
22,50,90,1.209411e+04
22,50,100,1.209411e+04
22,50,1,1.159418e+04
22,50,2,1.159418e+04
22,50,3,1.159418e+04
22,50,5,1.159418e+04
22,50,10,1.159418e+04
22,50,20,1.159418e+04
22,50,30,1.159418e+04
22,50,40,1.159418e+04
22,50,50,1.159418e+04
22,50,60,1.159418e+04
22,50,70,1.159418e+04
22,50,80,1.159418e+04
22,50,90,1.159418e+04
22,50,100,1.159418e+04
22,50,1,1.140379e+04
22,50,2,1.140379e+04
22,50,3,1.140379e+04
22,50,5,1.140379e+04
22,50,10,1.140379e+04
22,50,20,1.140379e+04
22,50,30,1.140379e+04
22,50,40,1.140379e+04
22,50,50,1.140379e+04
22,50,60,1.140379e+04
22,50,70,1.140379e+04
22,50,80,1.140379e+04
22,50,90,1.140379e+04
22,50,100,1.140379e+04
