funcid,dim,milestone,error
23,50,1,2.405225e+03
23,50,2,2.405225e+03
23,50,3,2.405225e+03
23,50,5,2.405225e+03
23,50,10,2.405225e+03
23,50,20,2.405225e+03
23,50,30,2.405225e+03
23,50,40,2.405225e+03
23,50,50,2.405225e+03
23,50,60,2.405225e+03
23,50,70,2.405225e+03
23,50,80,2.405225e+03
23,50,90,2.405225e+03
23,50,100,2.405225e+03
23,50,1,2.400315e+03
23,50,2,2.400315e+03
23,50,3,2.400315e+03
23,50,5,2.400315e+03
23,50,10,2.400315e+03
23,50,20,2.400315e+03
23,50,30,2.400315e+03
23,50,40,2.400315e+03
23,50,50,2.400315e+03
23,50,60,2.400315e+03
23,50,70,2.400315e+03
23,50,80,2.400315e+03
23,50,90,2.400315e+03
23,50,100,2.400315e+03
23,50,1,2.535221e+03
23,50,2,2.535221e+03
23,50,3,2.535221e+03
23,50,5,2.535221e+03
23,50,10,2.535221e+03
23,50,20,2.535221e+03
23,50,30,2.535221e+03
23,50,40,2.535221e+03
23,50,50,2.535221e+03
23,50,60,2.535221e+03
23,50,70,2.535221e+03
23,50,80,2.535221e+03
23,50,90,2.535221e+03
23,50,100,2.535221e+03
23,50,1,2.704097e+03
23,50,2,2.290059e+03
23,50,3,2.290059e+03
23,50,5,1.921539e+03
23,50,10,1.921539e+03
23,50,20,1.921539e+03
23,50,30,1.921539e+03
23,50,40,1.921539e+03
23,50,50,1.921539e+03
23,50,60,1.921539e+03
23,50,70,1.921539e+03
23,50,80,1.921539e+03
23,50,90,1.921539e+03
23,50,100,1.921539e+03
23,50,1,2.238731e+03
23,50,2,2.238731e+03
23,50,3,2.238731e+03
23,50,5,2.238731e+03
23,50,10,2.238731e+03
23,50,20,2.238731e+03
23,50,30,2.238731e+03
23,50,40,2.238731e+03
23,50,50,2.238731e+03
23,50,60,2.238731e+03
23,50,70,2.238731e+03
23,50,80,2.238731e+03
23,50,90,2.238731e+03
23,50,100,2.238731e+03
