funcid,dim,milestone,error
15,50,1,1.825588e+10
15,50,2,1.094734e+10
15,50,3,1.094734e+10
15,50,5,1.094734e+10
15,50,10,1.094734e+10
15,50,20,1.094734e+10
15,50,30,1.094734e+10
15,50,40,1.094734e+10
15,50,50,1.094734e+10
15,50,60,1.094734e+10
15,50,70,1.094734e+10
15,50,80,1.094734e+10
15,50,90,1.094734e+10
15,50,100,1.094734e+10
15,50,1,3.009487e+10
15,50,2,3.009487e+10
15,50,3,3.009487e+10
15,50,5,1.711162e+10
15,50,10,1.711162e+10
15,50,20,1.711162e+10
15,50,30,1.711162e+10
15,50,40,1.711162e+10
15,50,50,1.711162e+10
15,50,60,1.711162e+10
15,50,70,1.711162e+10
15,50,80,1.711162e+10
15,50,90,1.711162e+10
15,50,100,1.711162e+10
15,50,1,1.691895e+10
15,50,2,1.691895e+10
15,50,3,1.691895e+10
15,50,5,1.691895e+10
15,50,10,1.691895e+10
15,50,20,1.691895e+10
15,50,30,1.691895e+10
15,50,40,1.691895e+10
15,50,50,1.691895e+10
15,50,60,1.691895e+10
15,50,70,1.691895e+10
15,50,80,1.691895e+10
15,50,90,1.691895e+10
15,50,100,1.691895e+10
15,50,1,2.437110e+10
15,50,2,2.437110e+10
15,50,3,2.437110e+10
15,50,5,2.437110e+10
15,50,10,2.437110e+10
15,50,20,2.437110e+10
15,50,30,2.437110e+10
15,50,40,2.437110e+10
15,50,50,2.437110e+10
15,50,60,2.437110e+10
15,50,70,2.437110e+10
15,50,80,2.437110e+10
15,50,90,2.437110e+10
15,50,100,2.437110e+10
15,50,1,1.175994e+10
15,50,2,1.175994e+10
15,50,3,1.175994e+10
15,50,5,1.175994e+10
15,50,10,1.175994e+10
15,50,20,1.175994e+10
15,50,30,1.175994e+10
15,50,40,1.175994e+10
15,50,50,1.175994e+10
15,50,60,1.175994e+10
15,50,70,1.175994e+10
15,50,80,1.175994e+10
15,50,90,1.175994e+10
15,50,100,1.175994e+10
