funcid,dim,milestone,error
27,50,1,3.436556e+03
27,50,2,3.436556e+03
27,50,3,3.436556e+03
27,50,5,3.436556e+03
27,50,10,3.436556e+03
27,50,20,3.436556e+03
27,50,30,3.436556e+03
27,50,40,3.436556e+03
27,50,50,3.436556e+03
27,50,60,3.436556e+03
27,50,70,3.436556e+03
27,50,80,3.436556e+03
27,50,90,3.436556e+03
27,50,100,3.436556e+03
27,50,1,5.101400e+03
27,50,2,3.643483e+03
27,50,3,3.513405e+03
27,50,5,3.513405e+03
27,50,10,3.513405e+03
27,50,20,3.513405e+03
27,50,30,3.513405e+03
27,50,40,3.513405e+03
27,50,50,3.513405e+03
27,50,60,3.513405e+03
27,50,70,3.513405e+03
27,50,80,3.513405e+03
27,50,90,3.513405e+03
27,50,100,3.513405e+03
27,50,1,4.760239e+03
27,50,2,2.821345e+03
27,50,3,2.821345e+03
27,50,5,2.821345e+03
27,50,10,2.821345e+03
27,50,20,2.821345e+03
27,50,30,2.821345e+03
27,50,40,2.821345e+03
27,50,50,2.821345e+03
27,50,60,2.821345e+03
27,50,70,2.821345e+03
27,50,80,2.821345e+03
27,50,90,2.821345e+03
27,50,100,2.821345e+03
27,50,1,4.103286e+03
27,50,2,2.916301e+03
27,50,3,2.853917e+03
27,50,5,2.853917e+03
27,50,10,2.853917e+03
27,50,20,2.853917e+03
27,50,30,2.853917e+03
27,50,40,2.853917e+03
27,50,50,2.853917e+03
27,50,60,2.853917e+03
27,50,70,2.853917e+03
27,50,80,2.853917e+03
27,50,90,2.853917e+03
27,50,100,2.853917e+03
27,50,1,4.496172e+03
27,50,2,4.496172e+03
27,50,3,4.496172e+03
27,50,5,4.496172e+03
27,50,10,4.496172e+03
27,50,20,4.496172e+03
27,50,30,4.496172e+03
27,50,40,4.496172e+03
27,50,50,4.496172e+03
27,50,60,4.496172e+03
27,50,70,4.496172e+03
27,50,80,4.496172e+03
27,50,90,4.496172e+03
27,50,100,4.496172e+03
