funcid,dim,milestone,error
18,50,1,1.350053e+08
18,50,2,1.350053e+08
18,50,3,1.350053e+08
18,50,5,1.350053e+08
18,50,10,1.350053e+08
18,50,20,1.350053e+08
18,50,30,1.350053e+08
18,50,40,1.350053e+08
18,50,50,1.350053e+08
18,50,60,1.350053e+08
18,50,70,1.350053e+08
18,50,80,1.350053e+08
18,50,90,1.350053e+08
18,50,100,1.350053e+08
18,50,1,3.734245e+08
18,50,2,3.734245e+08
18,50,3,3.734245e+08
18,50,5,3.734245e+08
18,50,10,3.734245e+08
18,50,20,3.734245e+08
18,50,30,3.734245e+08
18,50,40,3.734245e+08
18,50,50,3.734245e+08
18,50,60,3.734245e+08
18,50,70,3.734245e+08
18,50,80,3.734245e+08
18,50,90,3.734245e+08
18,50,100,3.734245e+08
18,50,1,2.185403e+08
18,50,2,2.185403e+08
18,50,3,2.185403e+08
18,50,5,2.185403e+08
18,50,10,2.185403e+08
18,50,20,2.185403e+08
18,50,30,2.185403e+08
18,50,40,2.185403e+08
18,50,50,2.185403e+08
18,50,60,2.185403e+08
18,50,70,2.185403e+08
18,50,80,2.185403e+08
18,50,90,2.185403e+08
18,50,100,2.185403e+08
18,50,1,2.459311e+08
18,50,2,2.459311e+08
18,50,3,2.459311e+08
18,50,5,2.459311e+08
18,50,10,2.459311e+08
18,50,20,2.459311e+08
18,50,30,2.459311e+08
18,50,40,2.459311e+08
18,50,50,2.459311e+08
18,50,60,2.459311e+08
18,50,70,2.459311e+08
18,50,80,2.459311e+08
18,50,90,2.459311e+08
18,50,100,2.459311e+08
18,50,1,4.725270e+07
18,50,2,4.725270e+07
18,50,3,4.725270e+07
18,50,5,4.725270e+07
18,50,10,4.725270e+07
18,50,20,4.725270e+07
18,50,30,4.725270e+07
18,50,40,4.725270e+07
18,50,50,4.725270e+07
18,50,60,4.725270e+07
18,50,70,4.725270e+07
18,50,80,4.725270e+07
18,50,90,4.725270e+07
18,50,100,4.725270e+07
