funcid,dim,milestone,error
19,50,1,1.326356e+10
19,50,2,9.277746e+08
19,50,3,3.039881e+07
19,50,5,3.039881e+07
19,50,10,3.039881e+07
19,50,20,3.039881e+07
19,50,30,3.039881e+07
19,50,40,3.039881e+07
19,50,50,3.039881e+07
19,50,60,3.039881e+07
19,50,70,3.039881e+07
19,50,80,3.039881e+07
19,50,90,3.039881e+07
19,50,100,3.039881e+07
19,50,1,1.223276e+09
19,50,2,1.223276e+09
19,50,3,1.223276e+09
19,50,5,1.223276e+09
19,50,10,1.223276e+09
19,50,20,1.223276e+09
19,50,30,1.223276e+09
19,50,40,1.223276e+09
19,50,50,1.223276e+09
19,50,60,1.223276e+09
19,50,70,1.223276e+09
19,50,80,1.223276e+09
19,50,90,1.223276e+09
19,50,100,1.223276e+09
19,50,1,3.680122e+09
19,50,2,3.680037e+09
19,50,3,3.680037e+09
19,50,5,3.680037e+09
19,50,10,3.680037e+09
19,50,20,3.680037e+09
19,50,30,3.680037e+09
19,50,40,3.680037e+09
19,50,50,3.680037e+09
19,50,60,3.680037e+09
19,50,70,3.680037e+09
19,50,80,3.680037e+09
19,50,90,3.680037e+09
19,50,100,3.680037e+09
19,50,1,3.066447e+09
19,50,2,3.066447e+09
19,50,3,3.066447e+09
19,50,5,3.066447e+09
19,50,10,3.066447e+09
19,50,20,3.066447e+09
19,50,30,3.066447e+09
19,50,40,3.066447e+09
19,50,50,3.066447e+09
19,50,60,3.066447e+09
19,50,70,3.066447e+09
19,50,80,3.066447e+09
19,50,90,3.066447e+09
19,50,100,3.066447e+09
19,50,1,8.302320e+09
19,50,2,8.302320e+09
19,50,3,8.302320e+09
19,50,5,8.302320e+09
19,50,10,8.302320e+09
19,50,20,8.302320e+09
19,50,30,8.302320e+09
19,50,40,8.302320e+09
19,50,50,8.302320e+09
19,50,60,8.302320e+09
19,50,70,8.302320e+09
19,50,80,8.302320e+09
19,50,90,8.302320e+09
19,50,100,8.302320e+09
