funcid,dim,milestone,error
16,50,1,8.948978e+03
16,50,2,8.948978e+03
16,50,3,8.948978e+03
16,50,5,8.948978e+03
16,50,10,8.948978e+03
16,50,20,8.948978e+03
16,50,30,8.948978e+03
16,50,40,8.948978e+03
16,50,50,8.948978e+03
16,50,60,8.948978e+03
16,50,70,8.948978e+03
16,50,80,8.948978e+03
16,50,90,8.948978e+03
16,50,100,8.948978e+03
16,50,1,5.908665e+03
16,50,2,5.908665e+03
16,50,3,5.908665e+03
16,50,5,5.908665e+03
16,50,10,5.908665e+03
16,50,20,5.908665e+03
16,50,30,5.908665e+03
16,50,40,5.908665e+03
16,50,50,5.908665e+03
16,50,60,5.908665e+03
16,50,70,5.908665e+03
16,50,80,5.908665e+03
16,50,90,5.908665e+03
16,50,100,5.908665e+03
16,50,1,6.228783e+03
16,50,2,6.228783e+03
16,50,3,6.228783e+03
16,50,5,6.228783e+03
16,50,10,6.228783e+03
16,50,20,6.228783e+03
16,50,30,6.228783e+03
16,50,40,6.228783e+03
16,50,50,6.228783e+03
16,50,60,6.228783e+03
16,50,70,6.228783e+03
16,50,80,6.228783e+03
16,50,90,6.228783e+03
16,50,100,6.228783e+03
16,50,1,8.051374e+03
16,50,2,3.449182e+03
16,50,3,3.447891e+03
16,50,5,3.447891e+03
16,50,10,3.447891e+03
16,50,20,3.447891e+03
16,50,30,3.447891e+03
16,50,40,3.447891e+03
16,50,50,3.447891e+03
16,50,60,3.447891e+03
16,50,70,3.447891e+03
16,50,80,3.447891e+03
16,50,90,3.447891e+03
16,50,100,3.447891e+03
16,50,1,7.964119e+03
16,50,2,7.964119e+03
16,50,3,7.964119e+03
16,50,5,7.964119e+03
16,50,10,7.964119e+03
16,50,20,7.964119e+03
16,50,30,7.964119e+03
16,50,40,7.964119e+03
16,50,50,7.964119e+03
16,50,60,7.964119e+03
16,50,70,7.964119e+03
16,50,80,7.964119e+03
16,50,90,7.964119e+03
16,50,100,7.964119e+03
