funcid,dim,milestone,error
27,10,1,4.964701e+02
27,10,2,4.872848e+02
27,10,3,4.794008e+02
27,10,5,4.735762e+02
27,10,10,4.724970e+02
27,10,20,4.724199e+02
27,10,30,4.724145e+02
27,10,40,4.664496e+02
27,10,50,4.586603e+02
27,10,60,4.586603e+02
27,10,70,4.586603e+02
27,10,80,4.586603e+02
27,10,90,4.586603e+02
27,10,100,4.586603e+02
27,10,1,4.380016e+02
27,10,2,4.139688e+02
27,10,3,4.054796e+02
27,10,5,3.990140e+02
27,10,10,3.987967e+02
27,10,20,3.987959e+02
27,10,30,3.987959e+02
27,10,40,3.987959e+02
27,10,50,3.987959e+02
27,10,60,3.987959e+02
27,10,70,3.987959e+02
27,10,80,3.987959e+02
27,10,90,3.987959e+02
27,10,100,3.987959e+02
27,10,1,4.875206e+02
27,10,2,4.791984e+02
27,10,3,4.447826e+02
27,10,5,4.398233e+02
27,10,10,4.392207e+02
27,10,20,4.391816e+02
27,10,30,4.391816e+02
27,10,40,4.391729e+02
27,10,50,4.391729e+02
27,10,60,4.391729e+02
27,10,70,4.391729e+02
27,10,80,4.391729e+02
27,10,90,4.391729e+02
27,10,100,4.391729e+02
27,10,1,5.368174e+02
27,10,2,5.251236e+02
27,10,3,5.043387e+02
27,10,5,4.987589e+02
27,10,10,4.981245e+02
27,10,20,4.981069e+02
27,10,30,4.981059e+02
27,10,40,4.112912e+02
27,10,50,4.071745e+02
27,10,60,4.071745e+02
27,10,70,4.071745e+02
27,10,80,4.071745e+02
27,10,90,4.071745e+02
27,10,100,4.071745e+02
27,10,1,4.121907e+02
27,10,2,4.068039e+02
27,10,3,4.000493e+02
27,10,5,3.961150e+02
27,10,10,3.959856e+02
27,10,20,3.959848e+02
27,10,30,3.959848e+02
27,10,40,3.959848e+02
27,10,50,3.959848e+02
27,10,60,3.959848e+02
27,10,70,3.959848e+02
27,10,80,3.959848e+02
27,10,90,3.959848e+02
27,10,100,3.959848e+02
