funcid,dim,milestone,error
15,10,1,2.217495e+04
15,10,2,1.210650e+04
15,10,3,5.045898e+03
15,10,5,4.316286e+03
15,10,10,1.499669e+03
15,10,20,9.476464e+01
15,10,30,3.074864e+01
15,10,40,2.985353e+01
15,10,50,2.965644e+01
15,10,60,2.965644e+01
15,10,70,2.965644e+01
15,10,80,2.965644e+01
15,10,90,2.965644e+01
15,10,100,2.965644e+01
15,10,1,1.111067e+04
15,10,2,1.111067e+04
15,10,3,1.111067e+04
15,10,5,6.838552e+03
15,10,10,2.823187e+03
15,10,20,7.351248e+01
15,10,30,7.231017e+01
15,10,40,7.226748e+01
15,10,50,7.226594e+01
15,10,60,7.226594e+01
15,10,70,7.226594e+01
15,10,80,7.226594e+01
15,10,90,7.226594e+01
15,10,100,7.226594e+01
15,10,1,3.038159e+04
15,10,2,3.038159e+04
15,10,3,3.022059e+04
15,10,5,8.447141e+03
15,10,10,4.954319e+03
15,10,20,1.317883e+02
15,10,30,7.125500e+01
15,10,40,6.106705e+01
15,10,50,6.077162e+01
15,10,60,6.077009e+01
15,10,70,6.077009e+01
15,10,80,6.077009e+01
15,10,90,6.077009e+01
15,10,100,6.077009e+01
15,10,1,1.150754e+05
15,10,2,3.235665e+04
15,10,3,2.231733e+04
15,10,5,1.873084e+04
15,10,10,4.179781e+02
15,10,20,4.983717e+01
15,10,30,2.459830e+01
15,10,40,1.641150e+01
15,10,50,1.641085e+01
15,10,60,1.641085e+01
15,10,70,1.641085e+01
15,10,80,1.641085e+01
15,10,90,1.641085e+01
15,10,100,1.641085e+01
15,10,1,5.575734e+04
15,10,2,2.197519e+04
15,10,3,6.843581e+03
15,10,5,3.765672e+03
15,10,10,2.085363e+03
15,10,20,4.631313e+01
15,10,30,3.902412e+01
15,10,40,3.880395e+01
15,10,50,3.880370e+01
15,10,60,3.880370e+01
15,10,70,3.880370e+01
15,10,80,3.880370e+01
15,10,90,3.880370e+01
15,10,100,3.880370e+01
