funcid,dim,milestone,error
7,10,1,2.291030e+02
7,10,2,1.177948e+02
7,10,3,7.675783e+01
7,10,5,4.147347e+01
7,10,10,2.244554e+01
7,10,20,2.241107e+01
7,10,30,2.241107e+01
7,10,40,2.241107e+01
7,10,50,2.241107e+01
7,10,60,2.241107e+01
7,10,70,2.241107e+01
7,10,80,2.241107e+01
7,10,90,2.241107e+01
7,10,100,2.241107e+01
7,10,1,1.175464e+02
7,10,2,1.087101e+02
7,10,3,7.803968e+01
7,10,5,4.511966e+01
7,10,10,1.727657e+01
7,10,20,1.723013e+01
7,10,30,1.723013e+01
7,10,40,1.723013e+01
7,10,50,1.723013e+01
7,10,60,1.723013e+01
7,10,70,1.723013e+01
7,10,80,1.723013e+01
7,10,90,1.723013e+01
7,10,100,1.723013e+01
7,10,1,2.680275e+02
7,10,2,1.374369e+02
7,10,3,7.939454e+01
7,10,5,5.210488e+01
7,10,10,1.804863e+01
7,10,20,1.801178e+01
7,10,30,1.801178e+01
7,10,40,1.801178e+01
7,10,50,1.801178e+01
7,10,60,1.801178e+01
7,10,70,1.801178e+01
7,10,80,1.801178e+01
7,10,90,1.801178e+01
7,10,100,1.801178e+01
7,10,1,2.129719e+02
7,10,2,1.263358e+02
7,10,3,5.848105e+01
7,10,5,4.341455e+01
7,10,10,6.952302e+00
7,10,20,6.922994e+00
7,10,30,6.922994e+00
7,10,40,6.922994e+00
7,10,50,6.922994e+00
7,10,60,6.922994e+00
7,10,70,6.922994e+00
7,10,80,6.922994e+00
7,10,90,6.922994e+00
7,10,100,6.922994e+00
7,10,1,1.973784e+02
7,10,2,1.447769e+02
7,10,3,7.660033e+01
7,10,5,4.295109e+01
7,10,10,1.644362e+01
7,10,20,1.637726e+01
7,10,30,1.637726e+01
7,10,40,1.637726e+01
7,10,50,1.637726e+01
7,10,60,1.637726e+01
7,10,70,1.637726e+01
7,10,80,1.637726e+01
7,10,90,1.637726e+01
7,10,100,1.637726e+01
