funcid,dim,milestone,error
14,10,1,6.418463e+03
14,10,2,6.292476e+03
14,10,3,4.176192e+02
14,10,5,3.381650e+02
14,10,10,1.400043e+02
14,10,20,1.152948e+02
14,10,30,1.148434e+02
14,10,40,1.148362e+02
14,10,50,1.143909e+02
14,10,60,1.143909e+02
14,10,70,1.143909e+02
14,10,80,1.143909e+02
14,10,90,1.143909e+02
14,10,100,1.143909e+02
14,10,1,2.829536e+04
14,10,2,1.688601e+04
14,10,3,3.559188e+03
14,10,5,3.499402e+03
14,10,10,1.362016e+02
14,10,20,9.115678e+01
14,10,30,7.505904e+01
14,10,40,7.424714e+01
14,10,50,7.424647e+01
14,10,60,7.424647e+01
14,10,70,7.424647e+01
14,10,80,7.424647e+01
14,10,90,7.424647e+01
14,10,100,7.424647e+01
14,10,1,1.284749e+04
14,10,2,4.428894e+03
14,10,3,6.244912e+02
14,10,5,4.549108e+02
14,10,10,1.775474e+02
14,10,20,1.202040e+02
14,10,30,1.201273e+02
14,10,40,7.519341e+01
14,10,50,7.512843e+01
14,10,60,7.512843e+01
14,10,70,7.512843e+01
14,10,80,7.512843e+01
14,10,90,7.512843e+01
14,10,100,7.512843e+01
14,10,1,1.674729e+04
14,10,2,1.674729e+04
14,10,3,1.100980e+03
14,10,5,2.804481e+02
14,10,10,1.695533e+02
14,10,20,1.186538e+02
14,10,30,1.181224e+02
14,10,40,1.174958e+02
14,10,50,9.129290e+01
14,10,60,5.081425e+01
14,10,70,5.081425e+01
14,10,80,5.081425e+01
14,10,90,5.081425e+01
14,10,100,5.081425e+01
14,10,1,1.131027e+04
14,10,2,1.131027e+04
14,10,3,2.449153e+02
14,10,5,1.853854e+02
14,10,10,1.077595e+02
14,10,20,7.299576e+01
14,10,30,7.268041e+01
14,10,40,7.256728e+01
14,10,50,5.921082e+01
14,10,60,5.921082e+01
14,10,70,5.921082e+01
14,10,80,5.921082e+01
14,10,90,5.921082e+01
14,10,100,5.921082e+01
