funcid,dim,milestone,error
6,10,1,7.545373e+01
6,10,2,2.580904e+01
6,10,3,1.002140e+01
6,10,5,5.438858e+00
6,10,10,2.064797e+00
6,10,20,1.653027e+00
6,10,30,1.651899e+00
6,10,40,1.651396e+00
6,10,50,1.651314e+00
6,10,60,1.651314e+00
6,10,70,1.651314e+00
6,10,80,1.651314e+00
6,10,90,1.651314e+00
6,10,100,1.651314e+00
6,10,1,5.208435e+01
6,10,2,3.055577e+01
6,10,3,1.197768e+01
6,10,5,5.023521e+00
6,10,10,3.690038e+00
6,10,20,3.561839e+00
6,10,30,3.514823e+00
6,10,40,3.514793e+00
6,10,50,3.514793e+00
6,10,60,3.514793e+00
6,10,70,3.514793e+00
6,10,80,3.514793e+00
6,10,90,3.514793e+00
6,10,100,3.514793e+00
6,10,1,4.041310e+01
6,10,2,2.688142e+01
6,10,3,9.128515e+00
6,10,5,3.272488e+00
6,10,10,6.370053e-01
6,10,20,5.543839e-01
6,10,30,5.540981e-01
6,10,40,5.540891e-01
6,10,50,5.524633e-01
6,10,60,5.524633e-01
6,10,70,5.524633e-01
6,10,80,5.524633e-01
6,10,90,5.524633e-01
6,10,100,5.524633e-01
6,10,1,3.660945e+01
6,10,2,3.660945e+01
6,10,3,9.167340e+00
6,10,5,2.532069e+00
6,10,10,1.803243e+00
6,10,20,1.672860e+00
6,10,30,1.672393e+00
6,10,40,1.672378e+00
6,10,50,1.672378e+00
6,10,60,1.672378e+00
6,10,70,1.672378e+00
6,10,80,1.672378e+00
6,10,90,1.672378e+00
6,10,100,1.672378e+00
6,10,1,5.389290e+01
6,10,2,3.685123e+01
6,10,3,1.230514e+01
6,10,5,4.166666e+00
6,10,10,1.493846e+00
6,10,20,1.475785e+00
6,10,30,1.474036e+00
6,10,40,1.473301e+00
6,10,50,1.473210e+00
6,10,60,1.473210e+00
6,10,70,1.473210e+00
6,10,80,1.473210e+00
6,10,90,1.473210e+00
6,10,100,1.473210e+00
